kreiskey1878,county,rb,tax1878_cta,tax1878_cit,tax1878_total,tax1878_tlt,tax1878_tin
35,"Johannisburg","GUM",35607,5613,95140,70959,183566
36,"Landkreis Elbing","DAN",43275,7641,159319,89929,151048
37,"Marienburg i. Pr.","DAN",84615,59418,404299,166707,229115
38,"Landkreis Danzig","DAN",69368,32291,285054,159131,410315
39,"Pr. Stargard","DAN",71304,36804,223550,67505,132451
40,"Berent","DAN",30917,6210,93623,81868,114302
41,"Karthaus","DAN",41807,7677,103127,62281,242906
42,"Neustadt i. Wpr.","DAN",52536,16557,147824,124048,155604
43,"Stuhm","MAR",44129,15698,169195,85075,109542
44,"Marienwerder","MAR",80840,63752,298952,127916,252279
45,"Rosenberg i. Pr.","MAR",53627,30383,187970,90535,139052
46,"Löbau","MAR",39313,13491,110467,87117,196436
47,"Strasburg","MAR",62604,21425,193134,97487,349119
48,"Thorn","MAR",92431,58524,316940,127752,177946
49,"Kulm","MAR",59291,42538,245588,117723,176202
50,"Graudenz","MAR",67602,40262,257478,123000,150890
51,"Schwetz","MAR",72951,21522,221853,145687,439777
52,"Konitz","MAR",70752,24641,201476,129718,315784
53,"Schlochau","MAR",59505,13029,156440,56495,149797
54,"Flatkow","MAR",71079,12258,189112,90031,156811
55,"Dt. Krone","MAR",75075,21033,219577,100276,2613635
56,"Prenzlau","POT",99215,89270,450325,106994,244598
57,"Templin","POT",66689,33637,223154,51865,93794
58,"Angermünde","POT",105762,55601,376414,42839,77319
59,"Oberbarnim","POT",145808,92534,478003,99025,203196
60,"Niederbarnim","POT",203115,95459,609088,89169,555171
61,"Teltow","POT",235069,134468,644659,107729,410463
62,"Beeskow-Storkow","POT",61019,16805,172918,76471,140514
63,"Jüterbock-Luckenwalde","POT",108095,40322,286616,45103,118592
64,"Zauche-Belzig","POT",122060,36281,346728,65995,188489
65,"Ost-Havelland","POT",168009,88734,472600,157239,204523
66,"West-Havelland","POT",157393,110477,487695,132014,179147
67,"Ruppin","POT",128605,55261,398958,136917,363144
68,"Ostpriegnitz","POT",117162,35888,344685,70325,288422
69,"Westpriegnitz","POT",132384,39830,429773,68545,114408
70,"Königsberg","FRA",141361,68803,503846,163747,254118
71,"Soldin","FRA",62138,20868,246506,61321,106581
72,"Arnswalde","FRA",46017,13647,162823,39927,78524
73,"Friedeberg","FRA",69617,19999,228653,14100,42731
74,"Landsberg","FRA",125882,55161,395451,61657,153949
75,"Lebus","FRA",143166,71565,495581,194510,281737
76,"West-Sternberg","FRA",59064,16257,183932,11544,41300
